generated by /home/ivandevert/get_station_catalog.ipynb
index|station_name|slat|slon|sele|sdep|source
0|3B.DP01|39.76855|-118.92072|1448.0|0.0|ncedc
1|3B.DP02|39.75142|-118.91817|1446.0|0.0|ncedc
2|3B.DP03|39.76147|-118.95978|1450.0|0.0|ncedc
3|3B.DP04|39.77301|-118.94072|1459.0|0.0|ncedc
4|3B.DP05|39.78448|-118.94788|1534.0|0.0|ncedc
5|3B.DP06|39.75168|-118.96238|1351.0|0.0|ncedc
6|3B.DP07|39.78057|-118.9526|1475.0|0.0|ncedc
7|3B.DP08|39.76012|-118.92612|1329.0|0.0|ncedc
8|3B.DP09|39.77355|-118.9509|1477.0|0.0|ncedc
9|3B.DP10|39.74414|-118.94489|1350.0|0.0|ncedc
10|3B.DP11|39.76663|-118.92043|1420.0|34.4424|ncedc
11|3B.DP12|39.75575|-118.94774|1366.0|34.4424|ncedc
12|3B.DP13|39.75369|-118.95844|1340.0|34.4424|ncedc
13|3B.DP14|39.75119|-118.94494|1366.0|0.0|ncedc
14|3B.DP15|39.7679|-118.93667|1413.0|0.0|ncedc
15|3B.DP18|39.76075|-118.95481|1382.0|0.0|ncedc
16|3B.DP19|39.76597|-118.95253|1409.0|0.0|ncedc
17|3B.DP20|39.772|-118.95156|1447.0|0.0|ncedc
18|3B.DP21|39.77301|-118.94072|1459.0|90.5256|ncedc
19|3B.DP22|39.7679|-118.93667|1413.0|90.8304|ncedc
20|3B.DP23|39.76075|-118.95481|1382.0|45.72|ncedc
21|3B.DP24|39.76597|-118.95253|1409.0|80.772|ncedc
22|4B.RRS1|42.1025|-113.37575|1472.0|0.0|ncedc
23|4B.RRS10|42.08211|-113.39561|1492.0|23.7744|ncedc
24|4B.RRS11|42.09253|-113.40286|1488.0|10.9728|ncedc
25|4B.RRS2|42.09153|-113.37286|1476.0|0.0|ncedc
26|4B.RRS3|42.07683|-113.36067|1496.0|0.0|ncedc
27|4B.RRS4|42.06619|-113.39322|1530.0|0.0|ncedc
28|4B.RRS5|42.07822|-113.408705|1505.0|0.0|ncedc
29|4B.RRS6|42.08544|-113.41722|1498.0|0.0|ncedc
30|4B.RRS7|42.09553|-113.39558|1487.0|0.0|ncedc
31|4B.RRS8|42.10197|-113.40691|1528.0|0.0|ncedc
32|4B.RRS9|42.0885|-113.38286|1483.0|17.9832|ncedc
33|5B.BPB1|39.797889|-119.005917|1264.0|34.4424|ncedc
34|5B.BPB2|39.782889|-119.008444|1271.0|34.4424|ncedc
35|5B.BPB3|39.778611|-119.012833|1261.0|34.4424|ncedc
36|5B.BPB4|39.777167|-119.012833|1238.0|15.5448|ncedc
37|5B.BPB5|39.781444|-119.021556|1238.0|91.44|ncedc
38|5B.BPB6|39.776444|-119.039917|1265.0|34.4424|ncedc
39|5B.BPB7|39.791|-119.028972|1236.0|91.44|ncedc
40|5B.BPB8|39.795083|-119.02325|1235.0|89.916|ncedc
41|5B.BRP1|39.797889|-119.005917|1264.0|0.0|ncedc
42|5B.BRP2|39.782889|-119.008444|1271.0|0.0|ncedc
43|5B.BRP3|39.778611|-119.012833|1261.0|0.0|ncedc
44|5B.BRP4|39.777167|-119.012833|1238.0|0.0|ncedc
45|5B.BRP5|39.781444|-119.021556|1238.0|0.0|ncedc
46|5B.BRP6|39.776444|-119.039917|1265.0|0.0|ncedc
47|5B.BRP7|39.791|-119.028972|1236.0|0.0|ncedc
48|5B.BRP8|39.795083|-119.02325|1235.0|0.0|ncedc
49|6B.NYC1|40.04967|-118.04622|1308.0|0.0|ncedc
50|6B.NYC2|40.03253|-118.03005|1465.0|0.0|ncedc
51|6B.NYC3|40.05742|-118.01969|1358.0|0.0|ncedc
52|6B.NYC4|40.05051|-117.99644|1527.0|0.0|ncedc
53|6B.NYC5|40.07372|-117.98808|1356.0|0.0|ncedc
54|6B.NYC6|40.05908|-117.97822|1498.0|0.0|ncedc
55|6B.NYC7|40.077917|-118.02386|1264.0|0.0|ncedc
56|6B.NYC8|40.086|-118.00031|1272.0|0.0|ncedc
57|AZ.ASBS|33.6208|-116.4664|1400.0|0.0|scedc
58|AZ.BZN|33.4915|-116.667|1301.0|0.0|scedc
59|AZ.CPE|32.8889|-117.1051|150.0|0.0|scedc
60|AZ.CRY|33.5654|-116.7373|1128.0|0.0|scedc
61|AZ.CSLB|33.7793|-118.1126|17.0|0.0|scedc
62|AZ.ELKS|33.5813|-116.4496|1169.0|0.0|scedc
63|AZ.FRD|33.4947|-116.6022|1164.0|0.0|scedc
64|AZ.GARR|33.5918|-116.6708|1442.0|9.2|scedc
