Earthquake name,Year,Type,Mo,L,w,delsig,id,elat,elon,edep,emag
Long Beach,1933,ss,4.1,23.0,13.0,6.7,3359741,33.6308333,-117.9995,6.0,6.4
Imperial,1940,ss,27.0,60.0,11.0,24.0,3365279,32.8441667,-115.381,6.0,6.9
Desert Hot Springs,1948,ss,1.0,15.0,16.0,1.7,9860350,33.9833333,-116.3308333,6.0,6.0
Kern County,1952,ob,130.0,64.0,19.0,42.0,3319401,34.9581667,-118.998,6.0,7.5
Anza Borrego,1954,ss,2.89,15.0,12.0,8.5,3299653,33.2985,-116.0805,6.0,6.4
Borrego,1968,ss,10.0,40.0,10.0,16.0,3329122,33.1798333,-116.103,10.0,6.6
Coyote Mountain,1969,ob,0.38,10.0,3.0,32.0,3327613,33.2591667,-116.361,6.0,5.46
San Fernando,1971,ob,10.4,17.0,14.0,23.0,3347678,34.416,-118.37,8.95,6.6
Point Mugu,1973,ds,0.42,8.0,3.3,41.0,3320341,33.979,-119.0501667,10.0,5.3
Horse Canyon,1975,ss,0.035,2.0,2.0,28.0,3023147,33.525,-116.544,14.39,4.9
Santa Barbara,1978,ob,0.75,10.0,5.0,22.0,10012262,34.3136667,-119.706,18.0,5.08
Homestead Valley,1979,ss,0.24,6.0,4.0,16.0,3346646,34.3258333,-116.416,9.27,5.23
Imperial,1979,ss,7.12,51.0,12.0,6.2,3352060,32.6673333,-115.3591667,15.0,6.4
Anza,1980,ss,0.041,2.5,2.5,17.0,3326333,33.4753333,-116.4996667,19.41,5.34
Anza,1982,ss,0.017,2.5,3.0,4.8,532392,33.549,-116.677,11.473,4.81
North Palm Springs,1986,ob,1.73,16.0,9.0,10.0,700917,33.999,-116.608,9.468,6.0
Oceanside,1986,ds,0.73,8.0,7.0,16.0,127298,32.971,-117.874,5.828,5.45
Whittier Narrows,1987,ds,1.04,5.0,6.0,50.0,731691,34.061,-118.079,14.6,5.9
Elmore Ranch,1987,ss,2.6,30.0,12.0,3.8,134894,33.09,-115.792,10.853,6.2
Superstition Hills,1987,ss,9.2,30.0,11.0,16.0,628016,33.015,-115.852,11.181,6.6
Pasadena,1988,ss,0.031,4.5,2.5,7.0,650799,34.151,-118.13,13.719,5.02
Upland,1990,ss,0.27,4.0,7.0,8.8,1053635,34.144,-117.697,3.292,5.51
Sierra Madre,1991,ob,0.3,4.0,5.0,22.0,2021449,34.27,-117.993,8.049,5.8
Joshua Tree,1992,ss,2.9,15.0,13.0,7.3,3019681,33.96,-116.317,11.629,6.1
Landers,1992,ss,114.0,71.0,12.0,71.0,3031111,34.2,-116.437,-0.097,7.3
Big Bear,1992,ss,11.6,20.0,10.0,37.0,3031425,34.203,-116.827,3.634,6.3
Hector Mine,1999,ss,6.5,50.0,12.0,5.7,9108652,34.6033333,-116.265,13.73,7.1
