ifault,ipatch,ilayer,longitude,latitude,depth_m,length(m),width(m),strike,dip,coeff.,strike_slip(m),dip_slip(m)
1,1,1,-117.4339,35.7323,248.5675,1950.0,1950.0,224.0,83.0,0.0,0.438,0.099
1,2,1,-117.4358,35.7337,2184.0275,1950.0,1950.0,224.0,83.0,0.0,0.103,-0.007
1,3,1,-117.4377,35.7352,4119.4975,1950.0,1950.0,224.0,83.0,0.0,0.76,-0.175
1,4,1,-117.4396,35.7367,6054.9575,1950.0,1950.0,224.0,83.0,0.0,0.807,-0.079
1,5,1,-117.4415,35.7382,7990.4275,1950.0,1950.0,224.0,83.0,0.0,0.392,-0.134
1,6,1,-117.4434,35.7397,9925.8675,1950.0,1950.0,224.0,83.0,0.0,0.189,-0.068
1,7,1,-117.4453,35.7412,11861.3675,1950.0,1950.0,224.0,83.0,0.0,0.265,-0.041
1,8,1,-117.4489,35.7196,248.5675,1950.0,1950.0,224.0,83.0,0.0,0.008,0.005
1,9,1,-117.4508,35.7211,2184.0275,1950.0,1950.0,224.0,83.0,0.0,0.022,0.013
1,10,1,-117.4527,35.7226,4119.4975,1950.0,1950.0,224.0,83.0,0.0,0.241,0.116
1,11,1,-117.4546,35.7241,6054.9575,1950.0,1950.0,224.0,83.0,0.0,0.378,0.05
1,12,1,-117.4565,35.7256,7990.4275,1950.0,1950.0,224.0,83.0,0.0,0.291,0.042
1,13,1,-117.4584,35.7271,9925.8675,1950.0,1950.0,224.0,83.0,0.0,0.155,0.034
1,14,1,-117.4603,35.7286,11861.3675,1950.0,1950.0,224.0,83.0,0.0,0.045,0.002
1,15,1,-117.464,35.707,248.5675,1950.0,1950.0,224.0,83.0,0.0,0.071,0.013
1,16,1,-117.4658,35.7085,2184.0275,1950.0,1950.0,224.0,83.0,0.0,0.0,-0.0
1,17,1,-117.4677,35.71,4119.4975,1950.0,1950.0,224.0,83.0,0.0,0.045,0.026
1,18,1,-117.4696,35.7115,6054.9575,1950.0,1950.0,224.0,83.0,0.0,0.163,0.094
