id,x,y
,-118.8494914515,37.7064994553
,-118.8606931038,37.7026794285
,-118.8807788252,37.7097081257
,-118.8780749781,37.7136805727
,-118.8836758043,37.7223886537
,-118.8998988870,37.7281934723
,-118.9064653728,37.6987063918
,-118.9184395529,37.6927464374
,-118.9398771979,37.7297209805
,-118.9472162115,37.6912181669
,-118.9358214272,37.6672201898
,-118.9365939549,37.6591172094
,-118.8921736095,37.6768508838
,-118.8778818462,37.6632452533
,-118.8668733258,37.6537656997
,-118.8050711060,37.6713477831
,-118.7830540652,37.6572824495
,-118.7805433500,37.6448966344
,-118.8037191825,37.6404617046
,-118.8253499594,37.6308262896
,-118.7741699961,37.7520190124
,-119.0530525128,37.5726814212
,-119.0619365819,37.5679360193
,-119.0768077410,37.6127756428
,-118.9918296888,37.6205777313
,-118.9317656565,37.6282260429
,-118.9638255580,37.6536127938
,-119.0225376668,37.5939554731
,-119.0449409714,37.5685483462
,-119.0538250405,37.5590567136
,-119.0592327348,37.5550759917
,-119.0634816374,37.5608938982
,-119.0580739431,37.5890583883
,-119.0545975683,37.5939554731
,-119.0287178888,37.6190479746
,-119.0770008729,37.6533069809
,-119.0093081291,37.6223369127
,-119.0270762673,37.6270788464
,-119.0320976977,37.6312086712
,-119.0376985238,37.6335793928
,-119.0432027840,37.6367147473
,-119.0341255830,37.6432909146
,-119.0261106076,37.6336558665
,-119.0196406877,37.6347264891
,-119.0156814830,37.6364088649
,-119.0181921982,37.6414557636
,-119.0080527715,37.6591936568
,-118.9959820255,37.6651563071
,-118.9720336653,37.6541479632
,-118.9784070192,37.6598052327
,-118.9729027590,37.6672966288
,-118.9837181475,37.6799079856
,-119.0015828516,37.6465787799
,-119.0131707679,37.6661500356
,-119.0083424694,37.6837291857
,-119.0235998924,37.6780737396
,-119.0166471427,37.6860218113
,-119.0052523584,37.7006929368
,-119.0095012611,37.6965669761
,-119.0351878086,37.6858689718
,-119.0514108913,37.6956500648
,-119.0552735301,37.6994704538
,-119.0593293007,37.7039018585
,-119.0685996337,37.7129166571
,-118.9587075617,37.7248328433
,-118.9919262548,37.7204026902
,-119.0145226914,37.7127638731
,-119.0183853301,37.7204026902
,-118.9954026297,37.7274297064
,-119.0052523584,37.7339978360
,-119.0106600527,37.7355252245
,-119.0170334066,37.7359834349
,-119.0224411008,37.7365943777
,-119.0220548369,37.7278879669
,-119.0160677469,37.7430089727
,-119.0228273647,37.7471323473
,-119.0176128024,37.7579741992
,-119.0237930244,37.7824770373
,-119.0235998924,37.8012494173
,-119.0248552500,37.8068191652
,-119.0287178888,37.8126936495
,-119.0213788752,37.8165079995
,-119.0167437087,37.8215426396
,-119.0644472971,37.8020124213
,-119.0657026546,37.8245174928
,-119.0450375374,37.8283312318
,-119.0125913720,37.8303142982
,-119.0098875249,37.8390086524
,-119.0085356014,37.8477019819
,-119.0042866988,37.8563942866
,-119.0096943930,37.8585290819
,-119.0125913720,37.8621885871
,-119.0056386223,37.8634083818
,-119.0042866988,37.8688972080
,-119.0042866988,37.8769772360
,-119.0035141710,37.8829223509
,-119.0108531846,37.8931346331
,-119.0334496212,37.8986212445
,-119.0224411008,37.9056313195
,-119.0222479689,37.9102027478
,-119.0334496212,37.9102027478
,-119.0340290170,37.9161451799
,-119.0251449479,37.9211730168
,-119.0390504474,37.9254387907
,-119.0448444055,37.9293996448
,-119.0204132155,37.9973863966
,-119.0229239307,38.0113870429
,-119.0347049788,38.0097131933
,-119.0476448186,38.0235593448
,-119.0497692699,38.0196035684
,-119.0515074573,38.0224943491
,-119.0437821798,38.0229507777
,-119.0424302563,38.0302532491
,-119.0474516866,38.0323829994
,-119.0354775065,38.0329914882
